Edad,Estrato,Carrera,Genero,Coctel_ID,Calificacion
19,5,sistemas,femenino,17035,2
24,6,ingenieria,femenino,17254,4
22,2,administracion,femenino,13128,5
26,2,medicina,femenino,17837,2
28,6,ingenieria,femenino,178365,4
26,6,diseño,masculino,17230,2
25,3,diseño,masculino,17250,5
26,4,medicina,masculino,16991,5
23,2,ingenieria,masculino,14586,1
25,1,administracion,femenino,12436,5
18,5,derecho,masculino,178322,3
25,6,derecho,femenino,16991,3
28,2,administracion,femenino,12704,3
27,5,ingenieria,femenino,12097,3
20,6,arquitectura,femenino,17114,4
27,1,medicina,masculino,178365,4
19,5,arquitectura,femenino,12672,5
23,5,diseño,femenino,17181,5
25,6,arquitectura,masculino,17192,5
24,4,sistemas,femenino,14956,5
20,4,medicina,masculino,12630,5
26,4,administracion,femenino,11003,2
19,2,administracion,femenino,13535,5
29,4,diseño,masculino,17188,1
21,5,arquitectura,masculino,17215,4
23,5,diseño,masculino,12724,3
21,1,diseño,masculino,11472,2
18,5,medicina,femenino,12786,4
25,6,arquitectura,masculino,17135,5
18,2,ingenieria,masculino,17833,2
30,3,sistemas,masculino,15743,3
21,3,medicina,femenino,17833,1
20,1,diseño,masculino,12670,1
29,4,ingenieria,masculino,178359,5
26,5,administracion,femenino,12890,3
28,3,medicina,femenino,17182,5
28,3,arquitectura,masculino,12856,3
24,1,administracion,femenino,17827,4
23,2,ingenieria,femenino,11410,5
23,4,sistemas,masculino,12057,2
30,5,medicina,femenino,17250,4
29,1,administracion,masculino,178335,4
23,1,diseño,masculino,17208,4
20,6,ingenieria,masculino,13202,5
28,3,sistemas,femenino,17181,5
18,5,sistemas,masculino,17245,5
26,6,medicina,masculino,15825,2
21,2,diseño,femenino,13200,5
29,4,derecho,masculino,11023,5
23,5,sistemas,femenino,11670,4
29,2,ingenieria,femenino,12450,4
29,4,medicina,femenino,178338,5
20,2,ingenieria,masculino,12630,5
21,1,medicina,masculino,17826,3
22,5,medicina,masculino,11462,5
19,3,diseño,masculino,11391,2
24,6,arquitectura,masculino,12388,5
29,2,medicina,masculino,12954,1
22,5,sistemas,femenino,11014,1
23,5,arquitectura,masculino,12786,5
23,4,ingenieria,femenino,13621,1
25,1,derecho,femenino,12444,4
21,2,ingenieria,femenino,17190,4
19,3,administracion,masculino,13837,5
25,3,medicina,masculino,11288,3
30,5,arquitectura,masculino,11060,4
20,4,diseño,femenino,11408,3
24,3,sistemas,masculino,17246,5
20,4,ingenieria,masculino,16991,1
25,5,administracion,masculino,11222,2
22,3,derecho,femenino,15427,1
23,1,derecho,femenino,17006,5
20,2,derecho,masculino,11407,5
21,5,diseño,femenino,17248,1
20,3,sistemas,femenino,11124,2
27,5,administracion,masculino,11390,1
23,2,sistemas,masculino,12944,4
